iter	Passed	Remaining
479	668	724
480	669	722
481	670	720
482	671	718
483	672	716
484	673	715
485	674	713
486	675	711
487	676	709
488	677	707
489	678	706
490	679	704
491	680	702
492	681	700
493	682	699
494	683	697
495	685	696
496	686	694
497	687	692
498	688	691
499	689	689
500	690	687
501	691	686
502	692	684
503	693	682
504	694	680
505	695	678
506	696	677
507	697	675
508	698	673
509	699	672
510	700	670
511	701	668
512	702	667
513	703	665
514	704	663
515	705	661
516	706	660
517	707	658
518	708	656
519	709	654
520	710	653
521	711	651
522	712	649
523	713	648
524	714	646
525	715	644
526	716	643
527	717	641
528	718	639
529	719	638
530	720	636
531	721	634
532	722	633
533	723	631
534	724	629
535	725	627
536	726	626
537	727	624
538	728	623
539	730	621
540	731	620
541	732	618
542	733	617
543	734	616
544	736	614
545	737	613
546	738	611
547	739	610
548	741	608
549	742	607
550	743	606
551	745	604
552	746	603
553	747	601
554	748	599
555	749	598
556	750	596
557	751	594
558	751	593
559	752	591
560	753	589
561	754	588
562	755	586
563	757	585
564	758	583
565	759	582
566	760	580
567	761	579
568	762	577
569	763	575
570	764	574
571	765	572
572	766	571
573	767	569
574	768	567
575	769	566
576	770	564
577	771	562
578	772	561
579	773	560
580	774	558
581	776	557
582	777	556
583	778	554
584	780	553
585	781	551
586	781	550
587	782	548
588	784	547
589	784	545
590	785	543
591	787	542
592	788	541
593	789	539
594	790	537
595	791	536
596	792	535
597	793	533
598	794	532
599	795	530
600	796	528
601	797	527
602	798	525
603	799	524
604	800	522
605	801	521
606	802	519
607	803	518
608	804	516
609	805	515
610	806	513
611	807	512
612	808	510
613	810	509
614	811	507
615	812	506
616	812	504
617	813	503
618	814	501
619	815	499
620	816	498
621	817	497
622	819	495
623	820	494
624	821	492
625	822	491
626	823	489
627	824	488
628	825	486
629	826	485
630	827	483
631	828	482
632	829	480
633	830	479
634	831	477
635	832	476
636	833	474
637	834	473
638	835	472
639	836	470
640	837	469
641	838	467
642	839	466
643	840	464
644	841	463
645	842	461
646	843	460
647	844	458
648	845	457
649	846	455
650	847	454
651	848	453
652	850	451
653	851	450
654	852	448
655	853	447
656	853	445
657	854	444
658	856	442
659	857	441
660	857	440
661	858	438
662	859	437
663	860	435
664	861	434
665	863	432
666	864	431
667	865	430
668	866	428
669	867	427
670	868	425
671	869	424
672	870	423
673	871	421
674	872	420
675	873	418
676	874	417
677	875	416
678	877	414
679	878	413
680	879	412
681	880	410
682	882	409
683	883	408
684	884	406
685	885	405
686	887	404
687	888	402
688	889	401
689	890	399
690	891	398
691	892	397
692	893	395
693	894	394
694	895	393
695	896	391
696	897	390
697	898	388
698	899	387
699	901	386
700	902	384
701	903	383
702	904	381
703	904	380
704	905	379
705	906	377
706	907	376
707	908	374
708	910	373
709	911	372
710	912	370
711	913	369
712	914	367
713	915	366
714	916	365
715	916	363
716	918	362
717	919	360
718	919	359
719	920	358
720	921	356
721	922	355
722	923	353
723	924	352
724	926	351
725	927	349
726	928	348
727	929	347
728	930	345
729	931	344
730	932	343
731	933	341
732	934	340
733	935	339
734	936	337
735	938	336
736	939	335
737	940	333
738	941	332
739	942	331
740	943	329
741	944	328
742	945	327
743	946	325
744	947	324
745	948	323
746	949	321
747	950	320
748	951	318
749	952	317
750	953	316
751	955	314
752	956	313
753	957	312
754	958	310
755	959	309
756	960	308
757	961	306
758	962	305
759	963	304
760	964	302
761	965	301
762	966	300
763	967	298
764	969	297
765	970	296
766	971	295
767	973	293
768	974	292
769	975	291
770	976	290
771	977	288
772	978	287
773	979	286
774	980	284
775	981	283
776	982	282
777	983	280
778	985	279
779	986	278
780	987	276
781	988	275
782	989	274
783	990	272
784	991	271
785	992	270
786	993	268
787	994	267
788	995	266
789	996	264
790	997	263
791	998	262
792	999	261
793	1001	259
794	1002	258
795	1003	257
796	1004	255
797	1005	254
798	1006	253
799	1006	251
800	1007	250
801	1008	249
802	1009	247
803	1010	246
804	1011	245
805	1012	243
806	1013	242
807	1014	241
808	1016	239
809	1017	238
810	1018	237
811	1019	235
812	1020	234
813	1021	233
814	1021	231
815	1022	230
816	1023	229
817	1024	227
818	1025	226
819	1026	225
820	1027	224
821	1029	222
822	1030	221
823	1031	220
824	1032	218
825	1033	217
826	1034	216
827	1035	215
828	1037	213
829	1038	212
830	1039	211
831	1040	210
832	1041	208
833	1042	207
834	1043	206
